,Title,IMDB_id,Date of release,Genre,IMDB_rating,IMDB_Votes,Cast & Crew,Plot_keywords,Plot_summary
0,3 Idiots (2009),tt1187043,23 December 2009,"Comedy, Drama",8.4,365K,"Aamir Khan, Madhavan, Sharman Joshi, Kareena Kapoor, Boman Irani, Omi Vaidya, Mona Singh, Olivier Lafont, Rahul Kumar, Parikshit Sahni, Farida Dadi, Amardeep Jha, Mukund Bhatt, Chaitali Bose, Javed Jaffrey, Jayant Kripalani, Arun Bali, Shoaib Ahmed, Dushyant Wagh, Pooja Goswami, A.S. Duggal, Annapurna Kaul, R.S. Kodange, Dharmendra Bhurji, Meghna Bhalla, Harvinder Singh, Dilshad Edibam, Rajeev Ravindranathan, Hitesh Tak, Rajendra Patwardhan, Achyut Potdar, Ali Fazal, Madhav Vaze, Dileep Desai, Raghunathan, Vaidyanathan, Kumar Veer Singh, Shailja Dhar, Dinesh Kumar, Aakash Dabhade, Apul Jaisinghani, Trilok Sadhwani, Akhil Mishra, Sonu, Atul Tiwari, Praful Kulkarni, Jalil Parkar, Debashish Naha, Michael Joseph, Smriti, Sanjay Sood, Dayal Sharma, Rakesh Sharma, Elihud George, Sarvanna, Tanveer Ahmed, Shankar Sachdev, Kishor Patil, Insia Lacewalla, Keshav Rae, Lata Kurdikar, Suhas Vaidya, Nishi Singh, Saurabh Agnihotri, Sitaram Sharma, Pundit Prayag Raj, Supriya Shukla, Malvika Singh, Tsanwal Namgyal, Jigmet Dorjey, Freny Bhagat, Rohitash Gaud, Komal Jha, Pitobash, Bharat Jha, ","papadum, hairy chest, against the system, coming of age, college, flatulence, optimism, motivation, muslim, suicide, suicide attempt, bollywood, slapstick comedy, india, coma, reference to neil armstrong, boy wears eyeglasses, girl wears eyeglasses, black comedy, trimming mustache, simla india, dark comedy, friend, student, engineering, bare chested male, writing with both hands, subjective camera, character's point of view camera shot, slow motion scene, urination, fast motion scene, dream, best friend, following a dream, wildlife photography, wedding crasher, webcam, velcro, vacuum cleaner, stolen identity, search, science project, satire, rubik's cube, rivalry, reference to hippocrates, quest, prank, power failure, power cut, paralysis, optimist, nri, morality, mistaken identity, middle class family, male bonding, love at first sight, loss of brother, local blockbuster, lisp, kiss, journey, imagery, genius, freeze frame, flashback within a flashback, first love, father daughter relationship, fake heart attack, emergency landing, embarrassment, electricity failure, drunkenness, dilemma, convocation, childbirth, character repeating someone else's dialogue, catch phrase, buddy, bhagavad gita, based on bestseller, professor, friendship, classroom, wedding, three friends, suicide by hanging, shaving, sexual innuendo, scooter, paralyzed person, lecture, ladakh, flashback, engineering school, drinking, college life, black and white scene, assumed identity, ashes, rebelliousness, anti conformity, social commentary, parody, expose, education, based on novel, plot twist, ","Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of t... Read all"
1,3 Idiots (2009),tt1187043,23 December 2009,"Comedy, Drama",8.4,365K,"Aamir Khan, Madhavan, Sharman Joshi, Kareena Kapoor, Boman Irani, Omi Vaidya, Mona Singh, Olivier Lafont, Rahul Kumar, Parikshit Sahni, Farida Dadi, Amardeep Jha, Mukund Bhatt, Chaitali Bose, Javed Jaffrey, Jayant Kripalani, Arun Bali, Shoaib Ahmed, Dushyant Wagh, Pooja Goswami, A.S. Duggal, Annapurna Kaul, R.S. Kodange, Dharmendra Bhurji, Meghna Bhalla, Harvinder Singh, Dilshad Edibam, Rajeev Ravindranathan, Hitesh Tak, Rajendra Patwardhan, Achyut Potdar, Ali Fazal, Madhav Vaze, Dileep Desai, Raghunathan, Vaidyanathan, Kumar Veer Singh, Shailja Dhar, Dinesh Kumar, Aakash Dabhade, Apul Jaisinghani, Trilok Sadhwani, Akhil Mishra, Sonu, Atul Tiwari, Praful Kulkarni, Jalil Parkar, Debashish Naha, Michael Joseph, Smriti, Sanjay Sood, Dayal Sharma, Rakesh Sharma, Elihud George, Sarvanna, Tanveer Ahmed, Shankar Sachdev, Kishor Patil, Insia Lacewalla, Keshav Rae, Lata Kurdikar, Suhas Vaidya, Nishi Singh, Saurabh Agnihotri, Sitaram Sharma, Pundit Prayag Raj, Supriya Shukla, Malvika Singh, Tsanwal Namgyal, Jigmet Dorjey, Freny Bhagat, Rohitash Gaud, Komal Jha, Pitobash, Bharat Jha, ","papadum, hairy chest, against the system, coming of age, college, flatulence, optimism, motivation, muslim, suicide, suicide attempt, bollywood, slapstick comedy, india, coma, reference to neil armstrong, boy wears eyeglasses, girl wears eyeglasses, black comedy, trimming mustache, simla india, dark comedy, friend, student, engineering, bare chested male, writing with both hands, subjective camera, character's point of view camera shot, slow motion scene, urination, fast motion scene, dream, best friend, following a dream, wildlife photography, wedding crasher, webcam, velcro, vacuum cleaner, stolen identity, search, science project, satire, rubik's cube, rivalry, reference to hippocrates, quest, prank, power failure, power cut, paralysis, optimist, nri, morality, mistaken identity, middle class family, male bonding, love at first sight, loss of brother, local blockbuster, lisp, kiss, journey, imagery, genius, freeze frame, flashback within a flashback, first love, father daughter relationship, fake heart attack, emergency landing, embarrassment, electricity failure, drunkenness, dilemma, convocation, childbirth, character repeating someone else's dialogue, catch phrase, buddy, bhagavad gita, based on bestseller, professor, friendship, classroom, wedding, three friends, suicide by hanging, shaving, sexual innuendo, scooter, paralyzed person, lecture, ladakh, flashback, engineering school, drinking, college life, black and white scene, assumed identity, ashes, rebelliousness, anti conformity, social commentary, parody, expose, education, based on novel, plot twist, ","Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of t... Read all"
2,Nan,Nan,Nan,Nan,0.0,Nan,Nan,Nan,Nan
3,Nan,Nan,Nan,Nan,0.0,Nan,Nan,Nan,Nan
4,Nan,Nan,Nan,Nan,0.0,Nan,Nan,Nan,Nan
5,Rang De Basanti (2006),tt0405508,26 January 2006,"Comedy, Crime, Drama",8.1,116K,"Aamir Khan, Siddharth, Sharman Joshi, Kunal Kapoor, Atul Kulkarni, Soha Ali Khan, Alice Patten, Madhavan, Waheeda Rehman, Anupam Kher, Kirron Kher, Om Puri, Steven Mackintosh, Lekh Tandon, Cyrus Sahukar, Mohan Agashe, Asif Ali Baig, Abhishek Banerjee, Mukesh Chhabra, Pravishi Das, K.K. Raina, Chandan Roy Sanyal, Jagdeep Singh, Manmeet Singh, Vijai Singh, ","urination, delhi india, murder, mockery, friend, india, awakening, papadum, fuzz, pig, bacon, revolutionary, courage, politics, pilot, death, bombing, sacrifice, demonstration, protest, prisoner, torture, terrorism, candlelight march, holding a gun to one's head, police officer, vow, vigilantism, television camera, television news, university, wading, flower, hatred, hitting one's head, pen, jet, ledge, neighborhood, siren the alarm, disc jockey, reading, rescue, sledgehammer, crowd, television news announcer, makeup, burned alive, flirtation, listening to the radio, kiss, hug, seed, repeated line, television set, air force, soldier, shirt, video camera, man carries a woman, fist, watching tv, pushing, taxi, cell phone, character repeats someone else's dialogue, india gate, freedom, boy, college student, fight, british raj, muslim, freedom fighter, college, riding on top of a train, irish, cultural policing, horseback riding, well, jumping into a well, gunshot, gun scope, tear gas cannister, tear gas, walkie talkie, fame, call in radio show, law, confession, folding gate door, kidnapping, hostage, oxygen mask, sunglasses, reputation, black and white to color, color segues into black and white, water boarding, hunger strike, political prisoner, political unrest, bomb, trial, indian freedom movement, inquilab zindabad, rain, bicycle, battle, radio news, wound, hit with a stick, hit on the head, cutting someone's hair, overhead shot, holding one's hand over a burning candle, reflection in picture frame glass, dead father, dead husband, husband wife relationship, woman chases a man, pretending to march like a soldier, giving a toast, bar, watching a movie, bag over head, prayer, gallows, hands tied behind one's back, qur'an, bloody hand, interrogation, crucifix, church, hiding, revolution, terrorist, intermission, foot race, hand kissing, jumping into the air, jumping into a river on a motorcycle, motorcycle chase, religious icon in fire, pointing a gun at someone, british government, disguise, sword, capture, chase, horse, running, paratha, hit on the back of the head, massacre, generation gap, tolerance, asking for forgiveness, lantern, corpse, dead body, atrocity, mass murder, shooting, shot in the back, film set, safe, gunfire, jumping off a train, train emergency brake, british military, train push cart, year 1925, mustache, shaving, wig, looking at oneself in a mirror, mirror, costume fitting, strongman, giant, lifting a man into the air, british imperialism, indian history, water buffalo, religious procession, religious ceremony, golden temple new delhi, knocking on a door, crying, bloody mouth, apology, hit in the face, ends with text, flash camera, son shoots father, indian administrative service, suicide by gunshot, suicide, dying, shot in the stomach, shot in the leg, history repeats itself, shootout, apparition, explosion, shot while trying to surrender, shot in the shoulder, holding hands up in the air, surrender, indian national medal of honour, arms deal, russian, shot in the chest, pajamas, nightmare, airplane explosion, reaching through a gate, head bandage, doctor, coma, hospital, bloody forehead, head injury, bloody face, kicking, throwing a drink into someone's face, tea, beating, covered in blood, blood splatter, blood, skull damage, time lapse photography, dragging someone, arrest, indian military, riot gear, scam, indian government, candle, investigation, doorbell, indian parliament, indian politician, indian politics, microphone, hero, grief, mourning, flight lieutenant, rifle salute, rifle, fire, funeral pyre, folding a flag, cremation, indian flag, fainting, death of fiance, defence ministry of india, airplane crash, bracelet, mural, punched in the gut, kicked in the stomach, lighting a cigarette, slow motion scene, moment of truth, martyr, train robbery, train, conspiracy, kakori india, prejudice, intolerance, religion, fear, street market, beer, fate, destiny, political scandal, palmistry, learning lines, burning someone with a cigarette lighter, giving one's life for one's country, film director, actress, sari, shushing with finger over mouth, india gate new delhi, sexism, computer, sms generation, reference to god, telephone, telephone call, father son relationship, praying hands, pickup truck, promise, sleeping, laughter, pride, snapping fingers, mother slaps son, face slap, mother son relationship, boyfriend girlfriend relationship, reckless driving, woman hits a man, police corruption, whistle, name calling, pakistani, culture clash, money, dancer, listening to music, portable radio, handshake, falling from height, drinking game, party, bonfire, amphitheatre, spray paint, artist, rapper, rap music, reciting a poem, poem, montage, reference to preity zinta, looking out a window, quitting a job, wolf whistle, institute for international studies new delhi, backpack, taxi driver, whistling, subjective camera, street life, airplane, twenty something, eyewitness, grandfather granddaughter relationship, hindi, reference to gandhi, female filmmaker, london england, drawing, archive footage, newsreel footage, newspaper headline, newspaper, map, photograph, gun, flash forward, flashback, prologue, pocket watch, execution by hanging, hood over bead, hangman's noose, song, singing, singer, pouring water over one's head, british india, jail cell, book, reference to vladimir lenin, bare chested male, friendship, actor, drama filmmaking, new delhi india, dutch angle, life changing decision, gun salute, rebelliousness, following a dream, indifference, social commentary, freeze frame, death of protagonist, worship, voice over narration, sikh, salute, rehearsal, prison, jail, jailer, irony, hanging, fistfight, fighting the system, falling into water, execution, ethnic slur, drunkenness, diary, dhaba, depiction of corrupt society, dancing, coming of age, cigarette smoking, burp, bribe, brawl, audition, anti conformity, anguish, anger, amritsar india, airport, revenge, tradition versus modernity, patriotism, wheelie, religious intolerance, rebellious youth, radio station, police brutality, motorcycle, marriage proposal, documentary filmmaker, defence minister, violence, traditionalism, protest march, political protest, police violence, patricide, local blockbuster, jet fighter pilot, hindu, film within a film, cult film, corruption, assassination, documentary filmmaking, death of friend, delhi university, ","The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of f... Read all"
6,Nan,Nan,Nan,Nan,0.0,Nan,Nan,Nan,Nan
7,My Name Is Khan (2010),tt1188996,11 February 2010,Drama,8.0,102K,"Shah Rukh Khan, Kajol, Katie A. Keane, Kenton Duty, Benny Nieves, Christopher B. Duncan, Jimmy Sheirgill, Sonya Jehan, Parvin Dabas, Arjun Mathur, Sugandha Garg, Zarina Wahab, S.M. Zaheer, Arif Zakaria, Vinay Pathak, Sumeet Raghvan, Tanay Chheda, Navneet Nishan, Sheetal Menon, Arjan Aujla, Yuvaan Makar, Jennifer Echols, Adrian Kali Turner, Michael William Arnold, Dominic Renda, Juan Simmons, James Seaman, Christine Q. Nguyen, Kevin Oestenstad, Len Anderson IV, Dominic Flores, Sarfaraz, Meena Sonavane, Abhin Mudgal, Mukesh Tripathi, Aryan Desai, Arnav Chhapwale, Farroukh Mehta, Adarsh Gourav, Jaikishen Bhatia, Michele Marsh, Nathalie Tedrick, Mackenzie Firgens, Henry Schiaeffer, Chantelle Tibbs, Harmony Blossom, Kristen Marie Holly, Monique Soltani, Lori Dorfman, Daniel Lee, Reed Rudy, Mary Gregory, Kathleen M. Darcy, Milan Raggio, Tarun Mansukhani, Natasha Marc, Joe Bucaro III, Yaana Makar, Ali Dean, Nate Sil, Tracy Weisert, Elaine A. Clark, Kyle Hamon, Marquis Scott, Shane Harper, Jeremy Kilpatrick, Courtney Gebhart, Susie Sahar Sabry, Connie Chung Kim, Mel Fair, Adam Park, Leslie Thurston, Chirag Dave, Pallavi Sharda, Faisal Simon, Manoj Amarnani, Vijay Badlani, Brent Mendenhall, Josene Honea, Kevin Jessup, Greg Collins, Kavin Dave, Joseph Zinsman, Jackie Honea, Doran Reed, Nancy Duerr, Brett Glazer, Alka Pradhan, Sheila Cavalette, Kerry Leigh Michaels, Sean Laughlin, Micky Makhija, Rod Britt, Nanka Becko, Tonya Williams, Mark S. Porro, Laxmi Baveja, Tara R. Cook, Nicolas Pajon, Jenne Kang, Richard Rubin, John Lane, Donn Andrew Simmons, Tim Banks, Amanda Michelle Foschia, Scot Coker Free, Ryan Harpole, Giovanni Jones, Nicholas Lourme, Ben Milliken, Ed Price, Katy Tiemann, Birol Tarkan Yildiz, Don Abernathy, Keenan Allen, Martin Andris, Jennifer Barbosa, Bennie Bell, Beth Bemis, Dani Bocca, Michael Patrick Breen, Patrick D Bridges, Larry Brown, Pamela Broyles, Adrian Bustamante, Donna Cederlund, Ethynn Tanner Cerney, Cabran E. Chamberlain, Goldie Chan, John Clerkin, Patrick J. Crabb, Zachary Culbertson, Steve Dakota, Thomas Dalby, Christopher Damm, Kellie Daniel, A'Ali de Sousa, Joan Estrada, Fred Fein, Jeffrey T Ferguson, Shay Fernàndez, Rachael Ferris, Jim Gaines, Sean Grady, Teresa Guewell, Todd Hedrick, Timothy Hinson, Mike Howard, Steffany Huckaby, Willoughby Charles Jenett, Frederick Keith Johnson, Will James Johnson, Janis Jones, David Dustin Kenyon, Diana M. Kim, Jon Mercurio Knight, Bonnie Kolber, Mark Lavell, Mick Lea, Waymond Lee, Steven Lindo, Jennifer Linkous, Annie Lore, Veronica Loud, Theresa Marie Lynch, Krystal MacKnight, Isa Magomedov, Awele Makeba, Carl Marino, Ilona Marino, Julie McKinnon, Laura Meadows, Paul Meyer, Aubrey K. Miller, Rick Mischke, Jeremy Morgan, Jesse Muick, Stuart G Murphy, George Q. Nguyen, Casey Nihart, Kenyon Page, Montgomery Paulsen, David Pearl, Erika Pearson, John Peddie, Ajani Perkins, Alyssa Petersen, David Alan Poe, Allen Pontes, Catherine Kim Poon, Tom Portanova, Steve C. Porter, Ron Provencal, Speir Rahn, Duane Ram, Jeff Redlick, Michael Andrew Reed, Timothy Roberts, Retson Ross, Richard Rubin, Brian Sampson, Peggy Sandow, Anne Scottlin, Emily Seaman, Carol Shook, Davi Silveira, Victor M. Slone, Mike Stahl, Thomas W. Stewart, Christopher Sugarman, Douglas Tait, Christopher Villar, James D. Weston II, Danny Wilson, Jonathan Matthew Wilson, Shannen Elise Wilson, Kari Wishingrad, ","barack obama character, asperger's syndrome, racial profiling, autism, airport, cultural diversity, religion, flood, deus ex machina, road trip, prejudice, anti terrorism, anti muslim, based on true story, character name in title, muslim, wedding, ",An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.
8,Swades (2004),tt0367110,17 December 2004,Drama,8.2,87K,"Shah Rukh Khan, Gayatri Joshi, Kishori Ballal, Smit Sheth, Lekh Tandon, Rajesh Vivek, Daya Shankar Pandey, Farrukh Jaffar, Vishnudutt Gaur, Raja Awasthi, V.M. Badola, Bhim Vakani, Rahul Vohra, Rajesh Balwani, Bachan Pachehra, Shreyas Pandit, Peter Rawley, Makrand Deshpande, Mary Guyer, Rich Petrelli, ","india, village, nasa, postmaster, childhood nanny, cult film, 2000s, star gazing, child's drawing, social commentary, wrestling, tradition, open air cinema, discrimination, nri, nationalism, train, shower, schoolteacher, satellite communications station, rural electrification, rural setting, river, poverty, love, hydro electric, ferry boat, female teacher, electricity, communication satellite, childhood friend, casteism, caste system, caravan, boy selling water, ",A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.
9,Gangs of Wasseypur (2012),tt1954470,22 May 2012,"Action, Crime, Drama",8.2,89K,"Manoj Bajpayee, Richa Chadha, Nawazuddin Siddiqui, Tigmanshu Dhulia, Jameel Khan, Piyush Mishra, Jaideep Ahlawat, Huma Qureshi, Zeishan Quadri, Vipin Sharma, Satyakam Anand, Aditya Kumar, Rajkummar Rao, Vineet Kumar Singh, Sankalp Acharekar, Aditya, Akshat, Hasrat Ali, Mohammed Azam Ansari, Vasan Bala, Mahesh Balraj, Rajat Bhagat, Vidya Bhushan, Bobby, Niranjan Chaubey, Mukesh Chhabra, Tarzan Dada, Sujata Das, Dulaari Devi, Shreedhar Dubey, Karuna Dutt, Upal Dutta, Vivek Ghamande, Amitabh Kishen Ghanekar, Hemangini Ghanekar, Neeraj Ghaywan, Radhe Shyam Giri, Guddu, Siddharth Gupt, Naman Jain, Anurita Jha, Lali Ji, Chandan Kaif, Sameer Kamble, Omprakash Kashyap, Vicky Kaushal, Zafar Khan, Harish Khanna, Aditya Kumar, Amit Kumar, Murari Kumar, Sumit Kumar, Vishnu Kumar, Vishnu Kunwar, Ram Lakhan, Mahesh, Faisal Malik, Ashtabhuja Mishra, Sudhanshu Mishra, Vinay Mishra, Pranay Narayan, Bhola Nath, Kaushal Nigel, Balram Pandey, Ila Pandey, Pramod Pathak, Suman Pathak, Sankata Prasad, Syed Zeeshan Qadri, Tilak Raj, Vijesh Rajan, Amritraj Rana, Ravi, Khan Saab, Veena Sahay, Reema Sen, Ashfaque Shaikh, Salim M. Shaikh, Amit Sharma, Gaurav Sharma, Gaurav Sharma, Rajesh Kumar Sharma, Shlok Sharma, Tez Bahadur Sharma, Yashpal Sharma, Zahir Sheikh, Suhas Shirsat, Shivam, Shubham, Vijay Shukla, Janmajaya Singh, Nitin Raj Singh, Nityanand Singh, Pawan Singh, Ram Raksha Singh, Sanjay Singh, Santosh Singh, Vivek Singh, Akash Sinha, Varun Sinha, Suhas Sirsat, Praveen Sisodia, Pravin Singh Sisodia, Shilpa Srivasrava, Amreesh Srivastava, Anup Srivastava, Mamta Tiwari, Prerna Tiwari, Rajnikant Trigul, Heramba Shankar Tripathi, Pankaj Tripathi, Rati Shankar Tripathi, Vijay Tripathi, Utkarsh, Sanjeeva Vats, Sagar Verma, Jack Wayne, Luv Yadav, Rambhu Yadav, Rashmi Yadav, Tripurari Yadav, Kiran Yaday, Rohit Pandey, Sanjeeva Vatsa, ","revenge, blood, gun, abuse, gangster, violence, india, satire, cigarette, cult film, kidnapping, fight, cigarette smoking, family relationships, train robber, corruption, murder, based on true story, ","A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations."
